key,name,ra,dec,M_V,mass_stellar,rhalf,rhalf_physical,rhalf_sph_physical,ellipticity,distance,distance_modulus,metallicity,metallicity_em,metallicity_ep,metallicity_type,age,age_em,age_ep,vlos_sigma
andromeda_01,Andromeda I,11.41542,38.0375,-11.35,6.773029995663982,3.9,879.7605652732475,746.6549327331787,0.28,776.2471166286912,24.45,-1.51,0.02,0.02,spectroscopic,,,,10.2
andromeda_02,Andromeda II,19.11167,33.43528,-11.72,6.921029995663982,5.3,1027.2059335033518,941.5668917315729,0.16,666.8067692136218,24.12,-1.47,0.006,0.006,spectroscopic,,,,7.8
andromeda_03,Andromeda III,8.87875,36.49889,-9.489999999999998,6.029029995663981,2.0,418.0007457718522,267.676947958526,0.59,721.1074791828989,24.29,-1.75,0.03,0.03,spectroscopic,,,,9.3
andromeda_05,Andromeda V,17.57292,47.62833,-9.299999999999999,5.953029995663981,1.6,351.7503165970038,302.49865484360015,0.26,758.5775750291835,24.4,-1.84,0.01,0.01,spectroscopic,,,,10.5
andromeda_06,Andromeda VI,357.94542,24.5825,-11.3,6.753029995663983,2.15,519.2099963051214,399.1460487946385,0.41,831.7637711026708,24.6,,,,,,,,12.4
andromeda_07,Andromeda VII,351.63958,50.68,-12.779999999999998,7.345029995663982,3.47,831.1002121411543,775.0959058132765,0.13,824.1381150130012,24.58,-1.37,0.01,0.01,spectroscopic,,,,13.0
andromeda_09,Andromeda IX,13.2225,43.19917,-8.63,5.685029995663982,2.0,406.23566815426614,393.4029206666926,0.0,701.4552984199713,24.23,-2.03,0.001,0.001,spectroscopic,,,,10.9
andromeda_10,Andromeda X,16.6475,44.8075,-7.300000000000001,5.153029995663982,1.1,199.9198126024063,175.3487649899327,0.1,630.957344480193,24.0,-2.27,0.03,0.03,spectroscopic,,,,6.4
andromeda_11,Andromeda XI,11.58208,33.80278,-6.379999999999999,4.785029995663981,0.6,129.6353190757272,108.70126844337743,0.19,751.6228940182045,24.38,,,,,,,,7.6
andromeda_12,Andromeda XII,11.86792,34.37722,-6.580000000000002,4.865029995663982,1.8,368.95982618793863,217.17483316916315,0.61,717.7942912713615,24.28,,,,,,,,
andromeda_13,Andromeda XIII,12.9625,33.00444,-6.77,4.941029995663981,0.8,188.10892389147637,112.22445041124823,0.61,820.3515443298177,24.57,,,,,,,,5.8
andromeda_14,Andromeda XIV,12.89583,29.68972,-8.64,5.689029995663982,1.5,335.4892499960862,296.3057041617473,0.17,772.6805850957021,24.44,-2.23,0.01,0.01,spectroscopic,,,,5.3
andromeda_15,Andromeda XV,18.57625,38.11972,-8.370000000000001,5.581029995663982,1.3,282.0901203364382,245.39095910728872,0.24,748.1695005111553,24.37,-1.43,0.42,0.42,spectroscopic,,,,4.0
andromeda_16,Andromeda XVI,14.87625,32.376111,-7.469999999999999,5.221029995663981,1.0,149.87731552962612,126.29852849499997,0.29,517.6068319505681,23.57,-2.17,0.05,0.05,photometric,,,,3.8
andromeda_17,Andromeda XVII,9.27625,44.32306,-7.799999999999997,5.353029995663981,1.4,306.6644972156953,215.41393934750255,0.5,758.5775750291835,24.4,,,,,,,,2.9
andromeda_18,Andromeda XVIII,0.56025,45.08772222,-9.16,5.897029995663981,0.92,314.917270965258,235.43826769910677,0.44,1180.3206356517298,25.36,-1.53,0.06,0.06,spectroscopic,,,,9.9
andromeda_19,Andromeda XIX,4.89375,35.04472,-10.05,6.253029995663982,14.2,3333.0651322178473,2150.392228562562,0.58,812.8305161640995,24.55,-1.5,0.02,0.02,spectroscopic,,,,7.8
andromeda_20,Andromeda XX,1.8775,35.12694,-6.350000000000001,4.773029995663982,0.4,85.08303235795168,72.36742072171796,0.11,741.3102413009177,24.35,,,,,,,,7.1
andromeda_21,Andromeda XXI,358.69958,42.47056,-8.940000000000001,5.809029995663982,4.1,916.5435050214805,730.2040586594956,0.36,772.6805850957021,24.44,-1.7,0.1,0.1,spectroscopic,,,,6.1
andromeda_22,Andromeda XXII,21.91833,28.09028,-6.390000000000001,4.789029995663982,0.9,195.6981683614598,119.67236201647582,0.61,755.0922276654342,24.39,,,,,,,,2.8
andromeda_23,Andromeda XXIII,22.3375,38.72389,-9.76,6.1370299956639816,5.4,1165.969556810784,895.7330521323827,0.41,744.7319739059889,24.36,,,,,,,,7.1
andromeda_24,Andromeda XXIV,19.63625,46.37028,-7.620000000000001,5.281029995663982,2.6,455.03440071035914,402.700131193116,0.1,608.1350012787188,23.92,,,,,,,,
andromeda_25,Andromeda XXV,7.54125,46.86139,-9.079999999999998,5.865029995663981,2.7,587.728437531476,561.548220439785,0.03,751.6228940182045,24.38,-1.9,0.1,0.1,spectroscopic,,,,3.7
andromeda_26,Andromeda XXVI,5.94292,47.91194,-5.98,4.625029995663982,1.0,224.82579631160587,160.38299211700382,0.35,787.0457896950984,24.48,,,,,,,,8.6
andromeda_27,Andromeda XXVII,9.36292,45.38694,-7.899999999999999,5.393029995663981,1.8,429.84742594854555,325.67700713336126,0.4,827.9421637123345,24.59,,,,,,,,14.8
andromeda_28,Andromeda XXVIII,338.1716667,31.21494444,-8.51,5.6370299956639816,1.38,298.4244568233929,227.23005787531847,0.42,744.7319739059889,24.36,-1.84,0.15,0.15,spectroscopic,,,,4.9
andromeda_29,Andromeda XXIX,359.73167,30.75561,-8.170000000000002,5.501029995663982,1.39,286.79861654601655,241.87059397424417,0.29,711.2135136533295,24.26,-1.9,0.12,0.12,spectroscopic,,,,5.7
cassiopeia_2,Cassiopeia II,9.14417,49.64694,-7.739999999999998,5.329029995663981,1.5,243.04047691575278,182.39944848702368,0.43,559.7576014951093,23.74,,,,,,,,11.8
cassiopeia_3,Cassiopeia III,8.989333333333333,51.56005555555555,-12.4,7.193029995663982,4.73,1102.0038685726577,922.3475585613262,0.3,801.6780633876789,24.52,-1.7,0.1,0.1,spectroscopic,,,,8.4
ic_0010,IC 10,5.102083333,59.29166667,-14.93,8.205029995663981,2.65,592.8870864139117,533.5983777725205,0.19,769.1304402866098,24.43,,,,,,,,
lacerta_1,Lacerta I,344.5509166666666,41.30619444444444,-11.209999999999999,6.717029995663982,3.13,677.5403813374519,520.4710509329993,0.41,744.7319739059889,24.36,-2.0,0.1,0.1,spectroscopic,,,,10.3
lgs_3,LGS 3,15.97916667,21.885,-9.61,6.077029995663981,2.1,368.4477219153477,329.5496609430626,0.2,605.3408747539136,23.91,,,,,,,,7.9
m_032,M 32,10.674125,40.86511111,-16.340000000000003,8.769029995663983,0.47,105.19954951394192,91.19325600775608,0.25,772.6805850957021,24.44,,,,,,,,92.0
ngc_0147,NGC 147,8.298333333,48.50777778,-14.829999999999998,8.16502999566398,3.17,677.306712014279,520.2491570991348,0.41,734.5138681571144,24.33,,,,,,,,16.0
ngc_0185,NGC 185,9.741666667,48.33611111,-14.86,8.17702999566398,2.55,481.13427655706704,443.5838852645331,0.15,648.6344335482374,24.06,,,,,,,,24.0
