key,name,ra,dec,M_V,mass_stellar,rhalf,rhalf_physical,rhalf_sph_physical,ellipticity,distance,distance_modulus,metallicity,metallicity_em,metallicity_ep,metallicity_type,age,age_em,age_ep,vlos_sigma
antlia_2,Antlia II,143.8079,-36.6991,-9.73,6.13,104.6,3761.92,2379.32,0.6,124.17,20.47,-1.9,0.04,0.04,spectroscopic,,,,5.98
aquarius_2,Aquarius II,338.4813,-9.3274,-4.36,3.98,5.1,158.77,123.69,0.39,107.65,20.16,-2.57,0.17,0.17,spectroscopic,,,,4.7
aquarius_3,Aquarius III,357.218,-3.489,-2.5,3.23,2.1,51.65,36.28,0.47,85.51,19.66,-2.61,0.21,0.21,spectroscopic,,,,
bootes_1,Bootes I,210.02,14.5135,-6.02,4.64,9.97,192.24,160.86,0.3,66.37,19.11,-2.43,0.04,0.04,spectroscopic,,,,4.0
bootes_2,Bootes II,209.5141,12.8553,-2.94,3.41,3.17,38.25,33.0,0.25,41.69,18.1,-2.71,0.1,0.11,spectroscopic,,,,2.9
bootes_3,Bootes III,209.3,26.8,-5.74,4.53,40.6,548.05,447.9,0.33,46.56,18.34,-2.1,0.2,0.2,spectroscopic,,,,10.7
bootes_4,Bootes IV,233.689,43.726,-5.34,4.37,7.6,458.32,274.07,0.64,208.93,21.6,,,,,,,,
bootes_5,Bootes V,213.909,32.914,-3.2,3.51,0.76,22.37,19.93,0.2,101.86,20.04,-2.85,0.1,0.1,spectroscopic,,,,
canes_venatici_1,Canes Venatici I,202.0091,33.5521,-8.73,5.73,7.12,436.17,326.44,0.44,210.86,21.62,-1.91,0.04,0.04,spectroscopic,,,,7.6
canes_venatici_2,Canes Venatici II,194.2927,34.3226,-5.17,4.3,1.52,70.33,54.04,0.4,159.96,21.02,-2.35,0.19,0.16,spectroscopic,,,,4.6
carina_1,Carina,100.4065,-50.9593,-9.43,6.01,10.1,310.03,248.12,0.36,105.58,20.118,-1.8,0.02,0.02,spectroscopic,,,,6.6
carina_2,Carina II,114.1066,-57.9991,-4.57,4.06,8.69,94.26,76.52,0.34,37.39,17.864,-2.44,0.09,0.09,spectroscopic,,,,3.4
carina_3,Carina III,114.6298,-57.8997,-2.4,3.19,3.75,30.02,19.51,0.55,27.8,17.22,,,,,,,,5.6
centaurus_1,Centaurus I,189.5908,-40.9043,-5.35,4.37,2.6,88.6,70.97,0.36,117.71,20.354,-2.57,0.08,0.08,spectroscopic,,,,4.2
cetus_2,Cetus II,19.47,-17.42,0.0,2.23,1.9,16.26,16.26,,29.92,17.38,,,,,,,,
cetus_3,Cetus III,31.331,-4.27,-3.45,3.61,1.23,88.48,42.66,0.76,251.19,22.0,,,,,,,,
columba_1,Columba I,82.85696,-28.04253,-4.2,3.91,2.2,116.48,97.34,0.3,182.81,21.31,-2.37,0.34,0.35,spectroscopic,,,,
